nom_du_jardin;code_postal;region;departement;adresse_complete;adresse_de_l_entree_du_public;numero_et_libelle_de_la_voie;complement_d_adresse;commune;code_insee;code_insee_departement;code_insee_region;latitude;longitude;site_internet_et_autres_liens;types;annee_d_obtention;description;auteur_nom_de_l_illustre;identifiant_deps;identifiant_origine;accessible_au_public;conditions_d_ouverture;equipement_precision;date_de_creation;date_de_maj;coordonnees_geographiques
Jardin du Brûle;60112;Hauts-de-France;Oise;7 Rue Roger Froissart, 60112 Herchies, France;7 Rue Roger Froissart, 60112 Herchies, France;7 Rue Roger Froissart;;Herchies;60310;60;32.0;49.488258;2.011691;"[""https://jardindubrule.jimdo.com/"", ""https://www.instagram.com/jardindubrule/""]";Parc paysager,Jardin privé;2018;Le jardin du Brule est un havre de paix en bord de rivière. L’eau y est omniprésente alternant ruisseau, cascade et étang pour le plaisir des visiteurs. Découvrez une végétation abondante entremêlée d’hortensias, d’asters, de dahlias et de rudbeckias puis on arrive au verger qui nous conduit sur une collection de vivaces multiples et variées sans oublier les rosiers puis le potager avec sa collection de tomates anciennes et légumes sans oublier le petit vignoble.;;JARD_60310_0001;MHR_32_JR0029;[];[];;2020-12-11 13:15:10;2022-12-15 12:07:45;49.488258, 2.011691
Jardin des Bois;19160;Nouvelle-Aquitaine;Corrèze;;Le Braud, 19160 Latronche, France;Le Braud;;Latronche;19055;19;75.0;45.306444;2.2567;"[""https://jardins-nouvelle-aquitaine.fr/fiche.php?jar_id=568""]";Jardin privé,Jardin contemporain;2023;Rien ne laisse soupçonner la présence de ce jardin qui se découvre en pénétrant dans un bois. Ici, l’intervention d’un homme a permis de préserver la nature tout en la magnifiant. L’étagement de la végétation entre les arbres, arbustes et couvre-sol accompagne subtilement plusieurs pièces d’eau. Le cheminement se fait en empruntant de petits chemins et de frêles ponts de bois. Au fil des ans, le jardinier a créé une véritable complicité entre la faune, la flore et l’eau procurant un esprit féerique au lieu;;;;"[""ouvert""]";"[""saisonnière"", ""de jour""]";;2023-03-31 13:26:45;2023-04-12 17:38:34;45.306444, 2.2567
Parc du domaine de Nacqueville;50690;Normandie;Manche;1B Rte de la Castellerie, 50690 La Hague, France;1B Rte de la Castellerie, 50690 La Hague, France;1B Rte de la Castellerie;;La Hague;50041;50;28.0;49.60915;-1.692472;"[""http://www.nacqueville.com""]";Parc paysager,Jardin privé;2004;Château du XVIe siècle situé dans un parc à l'anglaise romantique créé en 1830 traversé par une rivière en cascade bordée d'arums et animé par une pièce d'eau et des fontaines fleuries. Vue merveilleuse sur la mer.;;JARD_50041_0002;MHR_28_JR0015;[];[];monument historique;2020-06-08 09:24:00;2022-07-22 10:28:16;49.60915, -1.692472
Parc du château de Thorigny;89260;Bourgogne-Franche-Comté;Yonne;3 Rue de la Division Leclerc, 89260 Thorigny-sur-Oreuse, France;3 Rue de la Division Leclerc, 89260 Thorigny-sur-Oreuse, France;3 Rue de la Division Leclerc;;Thorigny-sur-Oreuse;89414;89;27.0;48.294482;3.39829;"[""http://www.amisdethorigny.com""]";Jardin régulier,Jardin privé;2006;Ce jardin aménagé par André Le Nôtre au XVIIe siècle a été remodelé par Pierre Carlier après 1843. Ses descendants, au fil du temps, ont mis en valeur le parc. Le jardin présente des éléments remarquables : pont, cascade, cours d'eau, plan d'eau et des éléments végétaux : arbres d'alignement (tilleuls)...;;JARD_89414_0001;MHR_27_JR0016;[];[];monument historique;2020-12-11 13:14:55;2022-07-22 10:28:04;48.294482, 3.39829
Jardin de l'horticulture;51200;Grand Est;Marne;36 Rue Comte de Lambertye, 51200 Épernay, France;36 Rue Comte de Lambertye, 51200 Épernay, France;36 Rue Comte de Lambertye;;Épernay;51230;51;44.0;49.033336;3.950731;"[""http://www.epernay.fr""]";Parc paysager,Jardin public;2012;Créé à partir de 1910 sur les plans de J.B. Thomereau, paysagiste, le parc met en scène de nombreuses essences rares parmi lesquelles un fau de Verzy, un hêtre à feuilles de fougère, un hêtre marginé de rose, un muscadier, un cyprès chauve, …. Cette collection est complétée d’une roseraie et d’un verger-école toujours gérés par la Société d’horticulture et de viticulture d’Épernay.;;JARD_51230_0001;MHR_44_JR0027;[];[];;2020-12-11 13:14:28;2022-07-22 10:28:11;49.033336, 3.950731
Jardin des herbes;26700;Auvergne-Rhône-Alpes;Drôme;140 Les Escrottes, 26700 La Garde-Adhémar, France;140 Les Escrottes, 26700 La Garde-Adhémar, France;140 Les Escrottes;;La Garde-Adhémar;26138;26;84.0;44.390508;4.750833;"[""http://www.la-garde-adhemar.com""]";Jardin contemporain,Jardin de collection,Jardin vivrier,Jardin public;2006;Créé en 1990 par Danielle Arcucci, ce jardin public contemporain de 3000 m² domine la vallée du Rhône. Regroupées par forme, couleur et vertus médicinales, 200 herbes ornent les terrasses selon différents dessins géométriques, passages ombrés, cascade, et parterre en forme de soleil. Ouvert toute l'année et sur RV pour les VG.;;JARD_26138_0001;MHR_84_JR0020;[];[];;2020-06-08 09:25:00;2022-07-22 10:27:49;44.390508, 4.750833
Jardin de l’Ancienne abbaye Saint-André;30400;Occitanie;Gard;31 Rue Mnt du Fort, 30400 Villeneuve-lès-Avignon, France;31 Rue Mnt du Fort, 30400 Villeneuve-lès-Avignon, France;31 Rue Mnt du Fort;;Villeneuve-lès-Avignon;30351;30;76.0;43.964398;4.798907;"[""http://www.abbayesaintandre.fr"", ""https://www.facebook.com/abbayesaintandre/"", ""https://www.instagram.com/abbayesaintandre/""]";Jardin régulier,Jardin privé;2015;"Située sur le mont Andaon, dans l’imposante enceinte du Fort Saint-André, l’abbaye bénédictine et royale domine le Rhône et fait face à la Cité des Papes située sur l’autre rive. Fondée au Xe siécle, son Palais Abbatial sera remanié par Mignard, architecte du roi Louis XIV, reflétant la magnificence et l’élégance du XVIIIe siécle. Les jardins en terrasses de style ""Renaissance toscane"" et Méditerranéen s’étalent entre les vestiges des églises romanes et des tombeaux du Haut Moyen Âge, laissant découvrir des parterres fleuris de rosiers anciens, des plantes méditerranéennes, ainsi que pins et oliviers centenaires. Les terrasses offrent un panorama exceptionnel sur le Palais des Papes, les Alpilles, le Luberon, le Ventoux et les Dentelles du Montmirail. Tout ici laisse deviner l’important passé de ce lieu puissant et harmonieux, tremplin de l’imaginaire.";;JARD_30351_0001;MHR_76_JR0005;[];[];monument historique;2020-12-11 13:15:01;2022-12-07 17:42:15;43.964398, 4.798907
Jardins du château de Caudon;24250;Nouvelle-Aquitaine;Dordogne;28 La Tuilerie, 24250 Saint-Cybranet, France;28 La Tuilerie, 24250 Saint-Cybranet, France;28 La Tuilerie;;Saint-Cybranet;24152;24;75.0;44.791704;1.160411;[];Parc paysager,Jardin contemporain,Jardin privé;2007;Parc et jardin à l’anglaise avec chambres de buis. Château et chapelle monolithe (Monument historique).;;JARD_24152_0001;MHR_75_JR0009;[];[];;;2022-07-22 10:28:16;44.791704, 1.160411
Les jardins du château de Drée;71800;Bourgogne-Franche-Comté;Saône-et-Loire;623 À Gueurce, 71800 Curbigny, France;623 À Gueurce, 71800 Curbigny, France;623 À Gueurce;;Curbigny;71160;71;27.0;46.302306;4.299676;"[""http://www.chateau-de-dree.com"", ""https://www.facebook.com/chateaudedree/"", ""https://www.instagram.com/chateaudedree_officiel/""]";Jardin régulier,Jardin privé;2004;Monument historique privé, le Château de Drée ressuscite grâce au mobilier, aux jardins, l'art de vivre au XVIIIe siècle. Visite d'une quinzaine de pièces meublées dignes d'une demeure princière : cuisine, chambre du roi, salons d'apparats, chambres de maîtres, chapelle... Promenade libre des jardins et dépendances : colombier, prison, glacière, roseraie, salle des bains, broderie de buis, bassins et statues.;;JARD_71160_0001;MHR_27_JR0013;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:03;46.302306, 4.299676
Jardin de la poterie Hillen;65230;Occitanie;Hautes-Pyrénées;1675 Rte de Lalanne, 65230 Thermes-Magnoac, France;1675 Rte de Lalanne, 65230 Thermes-Magnoac, France;1675 Rte de Lalanne;;Thermes-Magnoac;65442;65;76.0;43.286741;0.610698;"[""http://les-jardins-de-la-poterie-hillen.blogspot.com/"", ""https://www.facebook.com/lesjardinsdelapoterieHillen""]";Parc paysager,Jardin contemporain,Jardin privé;2009;Jardin privé de 5 hectares aménagé en 2004 sur plusieurs niveaux. Mosaïque de jardins thématiques : potager biologique, arbres et arbustes remarquables, collections de vivaces, bambous et graminées. Jardins intime, des cinq sens, gourmand à influence médiévale, exotique, du Nord, du Sud. Biotope lotus. Sept pièces d'eau, lac, fontaine italienne, serre, sculptures.;;JARD_65442_0001;MHR_76_JR0024;[];[];;2020-06-08 09:23:00;2022-07-22 10:28:18;43.286741, 0.610698
Parc et jardin du château de Conteval;62360;Hauts-de-France;Pas-de-Calais;11 Rue de la Bergerie, 62360 La Capelle-lès-Boulogne, France;11 Rue de la Bergerie, 62360 La Capelle-lès-Boulogne, France;11 Rue de la Bergerie;;La Capelle-lès-Boulogne;62908;62;32.0;50.733803;1.703982;[];Parc paysager,Jardin vivrier,Jardin privé;2018;"Parc créé à la fin du XVIIIe siècle sur une importante parcelle du domaine royal, aliéné par Louis XVI au profit des Frères Delporte sur le plan du Baron de Courset, auteur du ""Botaniste cultivateur"" paru en 1802 puis en 1811. Pionniers de l'acclimatation des plantes exotiques et tenant du jardin naturaliste dit ""à l'anglaise"", ils firent un parc très ouvert aux perspectives guidant la vue jusqu'aux confins du Calaisis. Agrandi au XIXe siècle et aménagé par Eugène Houlet de Boulogne, disciple d'Edouard André et jardinier du Baron de Rothschild au chateau de Laversine.";;JARD_62908_0001;MHR_32_JR0031;[];[];monument historique;;2022-12-15 12:08:18;50.733803, 1.703982
Domaine national de Saint-Cloud;92210;Île-de-France;Hauts-de-Seine;National Estate of Saint-Cloud, 1 Av. de la Grille d'Honneur, 92210 Saint-Cloud, France;National Estate of Saint-Cloud, 1 Av. de la Grille d'Honneur, 92210 Saint-Cloud, France;National Estate of Saint-Cloud;;Saint-Cloud;92064;92;11.0;48.837733;2.216719;"[""http://saint-cloud.monuments-nationaux.fr"", ""https://www.instagram.com/domainenationaldesaintcloud/""]";Jardin régulier,Parc paysager,Jardin public;2004;Jardin régulier et parc dessiné par André Le Nôtre (XVIIe siècle), jardin mixte dessiné par Pierre Contant d’Ivry (milieu XVIIIe siècle), jardin paysager par Maximilien-Joseph Hurtault (Jardin du Trocadéro 1823-1826), jardins ouvriers et ferme pédagogique (XXe siècle);;JARD_92064_0001;MHR_11_JR0009;[];[];monument historique;2022-03-09 12:55:00;2022-07-22 10:27:59;48.837733, 2.216719
Jardin des plantes;34000;Occitanie;Hérault;12 Bd Henri IV, 34000 Montpellier, France;12 Bd Henri IV, 34000 Montpellier, France;12 Boulevard Henri IV;;Montpellier;34172;34;76.0;43.6142803;3.8732558;"[""https://www.umontpellier.fr/patrimoine/jardin-des-plantes"", ""https://fr-fr.facebook.com/jdpmontpellier""]";Jardin régulier,Jardin de collection,Jardin public;2022;Fondé en 1593 par Henri IV, le plus ancien jardin botanique de France s’étend sur près de 5 hectares au cœur de Montpellier. Rattaché à la Faculté de médecine, cet espace autrefois entièrement dédié à la recherche et à l’enseignement continue d’attirer les chercheurs du monde entier. Le Jardin des Plantes de Montpellier est classé au titre des sites (12 février 1982) et protégé au titre des Monuments Historiques depuis le 3 septembre 1992.;;;;[];[];;2022-09-15 15:42:59;2022-09-15 15:42:59;43.6142803, 3.8732558
Jardin du Crapaud à trois pattes;76270;Normandie;Seine-Maritime;14 D97, 76270 Lucy, France;14 D97, 76270 Lucy, France;14 D97;14 rue de la Houssaye-Béranger;Lucy;76042;76;28.0;49.7823139;1.4523432;"[""https://lecrapaudatroispattes.jimdofree.com/le-jardin/""]";Jardin régulier,Jardin contemporain,Jardin privé;2021;Le crapaud à trois pattes est un symbole Feng Shui incarnant la prospérité et la richesse. Le crapaud de ce jardin a pour seule et immense fortune, sa grande faculté à s'émerveiller. Il vous étonnera quand, vous baguenauderez de chambre en chambre cernées de charmilles ondulantes, le long des parterres fleuris où se côtoient harmonieusement, arbres majestueux et petits buissons éclectiques parsemés de salades, coquelicots et choux. Vous irez de surprise en sourire. Ce n'est pas le jardin d'un jardinier mais celui d'un sculpteur qui jardine pour son plaisir et le vôtre.;;;;[];[];;2022-09-13 18:51:22;2022-09-21 17:24:29;49.7823139, 1.4523432
Jardins de Marqueyssac;24220;Nouvelle-Aquitaine;Dordogne;152 Rue André Roque, 24220 Vezac, France;152 Rue André Roque, 24220 Vezac, France;152 Rue André Roque;;Vezac;24577;24;75.0;44.835097;1.168211;"[""http://www.marqueyssac.com"", ""https://www.facebook.com/marqueyssac/"", ""https://www.instagram.com/marqueyssac/""]";Jardin privé;2004;Les jardins romantiques et pittoresques de Marqueyssac offrent plus de 6 kilomètres de promenades ombragées, bordées de buis centenaires taillés, agrémentées de rocailles, théâtres de verdure.;;JARD_24577_0001;MHR_75_JR0021;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:17;44.835097, 1.168211
Parc du château Gerbéviller;54830;Grand Est;Meurthe-et-Moselle;12 Rue de la Deuil, 54830 Gerbéviller, France;12 Rue de la Deuil, 54830 Gerbéviller, France;12 Rue de la Deuil;;Gerbéviller;54222;54;44.0;48.493761;6.514523;"[""http://www.chateau-gerbeviller.com/""]";Parc paysager,Jardin vivrier,Jardin privé;2004;"Parc de 23 hectares, il est parcouru dans toute sa longueur par la Mortagne. Il a été dessiné par l'architecte Berthault, paysagiste de Napoléon Ier, en 1820. Type même des jardins agrandis à l'échelle du paysage, il offre une ample composition en « Y » comme les affectionnait Claude Gellée dit Le Lorrain. Un rare nymphée du XVIIe siècle et le ""Pavillon rouge"" dessinés probablement par Clément II Métezeau, vers 1620, constituent d’étonnantes fabriques précédées d’essences remarquables.";;JARD_54222_0001;MHR_44_JR0033;[];[];monument historique;2020-06-08 09:24:00;2022-07-22 10:28:12;48.493761, 6.514523
Jardin du Palais de la Berbie;81000;Occitanie;Tarn;16 Av. du Parc, 81000 Albi, France;16 Av. du Parc, 81000 Albi, France;16 Av. du Parc;;Albi;81004;81;76.0;43.922817;2.145209;"[""http://www.mairie-albi.fr""]";Jardin régulier,Jardin public;2009;Situé dans l'enceinte du musée Toulouse-Lautrec, au cœur de la cité épiscopale d'Albi, classée au patrimoine de l'Unesco depuis 2010, le jardin public à la française date du XVIIe siècle. Il est surplombé par un chemin de ronde offrant une vue exceptionnelle sur le Tarn.;;JARD_81004_0002;MHR_76_JR0027;[];[];"monument historique; musee de france; patrimoine mondial de lunesco";2020-12-11 13:14:09;2022-07-22 10:28:18;43.922817, 2.145209
Jardin de Mireille;47120;Nouvelle-Aquitaine;Lot-et-Garonne;530 Chem. de la Gare, 47120 Auriac-sur-Dropt, France;530 Chem. de la Gare, 47120 Auriac-sur-Dropt, France;530 Chem. de la Gare;;Auriac-sur-Dropt;47018;47;75.0;44.645015;0.243247;"[""https://jardin-de-mireille.jimdofree.com/""]";Jardin contemporain,Jardin de collection,Jardin privé;2020;Une passionnée de roses anciennes vous accueille dans son jardin où vous pourrez admirer plus de trois cent rosiers anciens, anglais, multiflora, mélangés à un grand nombre de vivaces, iris, hémérocalles, geraniums etc...ainsi que des arbres et arbustes rares. divers seringats, lilas en été les hortentias présentent une belle floraison. Le jardin est un aménagement de massifs mis en valeur par de grands passages engazonnés. Des pergolas où s'entrelacent roses et clématites, autour d'une ancienne ferme.;;JARD_47018_0001;MHR_75_JR0063;"[""ouvert""]";"[""de jour""]";;2022-03-09 12:54:34;2022-12-20 18:16:51;44.645015, 0.243247
Arboretum Al Gaulhia;19140;Nouvelle-Aquitaine;Corrèze;90 Rte du Vieux Ceyrat, 19140 Espartignac, France;90 Rte du Vieux Ceyrat, 19140 Espartignac, France;90 Rte du Vieux Ceyrat;;Espartignac;19076;19;75.0;45.394176;1.591823;"[""https://www.arboretum-algaulhia.net/"", ""https://www.facebook.com/Arboretum-Al-Gaulhia-Espartignac-111578955592602""]";Jardin de collection,Jardin privé;2017;"Situé à quelques minutes d'Uzerche, l'arboretum Al Gaulhia est un parc paysager d'environ 10 hectares. La grande variété d'arbres et d’arbustes cohabite avec les nombreux espaces aquatiques et forme un univers riche en biodiversité agréable à visiter. L'eau est ici omniprésente, le nom ""Al Gaulhia"" viendrait d'ailleurs d'un mot celte désignant une zone humide. Emblème du site, la dizaine d'espèces de lotus offre en spectacle ses grandes feuilles et ses charmantes fleurs aux teintes roses ou blanches. Une collection de 80 espèces de bambous et 600 espèces d'arbres et arbustes du monde entier complètent le tableau paysager, en trouvant leur place aux côtés de quelques arbres remarquables parfois tricentenaires.";;JARD_19076_0001;MHR_75_JR0049;"[""ouvert""]";"[""de jour""]";;2020-06-08 09:24:00;2022-12-20 17:43:32;45.394176, 1.591823
Jardin des plantes Les Capellans;66750;Occitanie;Pyrénées-Orientales;Mas des Capellans, 66750 Saint-Cyprien, France;Mas des Capellans, 66750 Saint-Cyprien, France;Mas des Capellans;rue Verdi;Saint-Cyprien;66171;66;76.0;42.6052995;3.0302023;"[""https://www.tourisme-saint-cyprien.com/les-incontournables/le-jardin-des-plantes""]";Parc paysager,Jardin de collection,Jardin public;2022;Le parc, de 5 ha environ, a été restauré par la ville de Saint-Cyprien en 1998, pour sauvegarder ce patrimoine hérité du XIXe siècle et en faire un jardin botanique comptant plus de 800 espèces dont 35 de palmiers, une bambouseraie, une collection remarquable de roses anciennes et des essences méditerranéennes parfois très rares. Un long « embarcadère » conduit les promeneurs jusqu'au plan d'eau sur lequel règne, l'été, le nénuphar géant Victoria.;;;;[];[];;2022-09-15 15:29:23;2022-09-15 15:33:15;42.6052995, 3.0302023
Jardin zoologique tropical;83250;Provence-Alpes-Côte d'Azur;Var;Route de Valcros 83250 La Londe-les-Maures;Route de Valcros, 83250 La Londe-les-Maures, France;Route de Valcros;;La Londe-les-Maures;83071;83;93.0;43.155665;6.255706;"[""http://www.zootropical.com""]";Jardin de collection,Jardin privé;2008;Jardin-conservatoire zoologique et botanique. Acclimatation, arboretum, collections (oiseaux,primates, plantes exotiques), reproduction d’espèces en voie d’extinction.;;JARD_83071_0001;MHR_93_JR0029;"[""ouvert""]";"[""de jour""]";;2020-06-08 09:23:00;2022-12-21 12:49:39;43.155665, 6.255706
Jardins du château de Viels-Maisons;2540;Hauts-de-France;Aisne;11 Pl. du Marché, 02540 Viels-Maisons, France;11 Pl. du Marché, 02540 Viels-Maisons, France;11 Pl. du Marché;;Viels-Maisons;2798;2;32.0;48.895492;3.396902;"[""http://jardins-vielsmaisons.net""]";Jardin régulier,Parc paysager,Jardin contemporain,Jardin vivrier,Jardin privé;2004;Au chevet d'une vieille église, entourée d'un parc du XVIIe siècle (ISMH) et d'un château du début du XIXe siècle, une succession de jardins dessinés par la paysagiste Sonja Gauron : un jardin de curé, de roses et de plantes officinales, un jardin anglais, camaïeu de couleurs, puis un jardin blanc, un jardin romantique, un jardin d'eau, un jardin sauvage des hydrangeas, des rhododendrons et un cadran solaire analemmatique.;;JARD_02798_0001;MHR_32_JR0012;"[""ouvert""]";"[""de jour""]";monument historique;2020-12-11 13:16:00;2022-12-15 15:41:16;48.895492, 3.396902
Parc Gonzalez;83230;Provence-Alpes-Côte d'Azur;Var;1594 Bd du Soleil, 83230 Bormes-les-Mimosas, France;1594 Bd du Soleil, 83230 Bormes-les-Mimosas, France;1594 Bd du Soleil;;Bormes-les-Mimosas;83019;83;93.0;43.147361;6.341005;"[""https://www.bormeslesmimosas.com/fr/quoi-faire/visites-et-patrimoine/les-jardins""]";Jardin contemporain,Jardin de collection,Jardin public;2015;Ce parc unique en Europe, véritable joyau en plein coeur du village, est composé de plus de 500 espèces de végétaux australiens. Il a vu le jour grâce à la générosité de Vivianne Grimminger et Carmen Martinez. Toutes deux ont ainsi souhaité offrir ce terrain d’une superficie de 3000 m2 afin de sceller leur histoire et celle de la famille Gonzalez à la ville de Bormes les Mimosas, si chère à Roberta Gonzalez, fille du sculpteur Julio Gonzalez. Un geste généreux qui aura permis, en 2002, au Parc Gonzalez, de se concrétiser sous l’impulsion de Gilles Augias, aujourd’hui responsable du Service Espaces Vert de la ville et de Gérard Cavatore, le spécialiste du mimosa.;;JARD_83019_0001;MHR_93_JR0035;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:11;43.147361, 6.341005
Village-jardin de Chédigny;37310;Centre-Val de Loire;Indre-et-Loire;226 La Villetrie, 37310 Chédigny, France;226 La Villetrie, 37310 Chédigny, France;226 La Villetrie;;Chédigny;37066;37;24.0;47.210207;0.986352;"[""http://rosesdechedigny.canalblog.com"", ""https://www.facebook.com/chedignyjardin""]";Jardin de collection,Jardin public;2013;Venez découvrir ce village exceptionnel où les rosiers et les vivaces ont envahi les rues pour le plus grand plaisir de ses habitants et des visiteurs.;;JARD_37066_0001;MHR_24_JR0013;[];[];;;2022-07-22 10:27:57;47.210207, 0.986352
Jardin de la bastide de Romégas;13540;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;2721 Chem. de St Donat, 13540 Aix-en-Provence, France;2721 Chem. de St Donat, 13540 Aix-en-Provence, France;2721 Chem. de St Donat;;Aix-en-Provence;13001;13;93.0;43.562039;5.449638;"[""https://www.jardins-romegas-provence.com""]";Jardin régulier,Jardin privé;2011;Jardins à la française et à l’anglaise au pied d’une bastide XVIIIe siècle, face à Sainte-Victoire. Chapelle, bassins, tèse, aire de battage, fontaine et bassins, volière, labyrinthes.;;JARD_13001_0001;MHR_93_JR0017;[];[];monument historique;2020-06-08 09:25:00;2022-07-22 10:28:20;43.562039, 5.449638
Jardins du château de la Ballue;35560;Bretagne;Ille-et-Vilaine;1 Bois de la Ballue 35560 Bazouges-la-Pérouse;1 Bois de la Ballue 35560 Bazouges-la-Pérouse;1 Bois de la Ballue;;Bazouges-la-Pérouse;35004;35;53.0;48.438444;-1.547193;"[""http://www.laballuejardin.com"", ""https://www.facebook.com/LaBalluesonchateauetsesjardins"", ""https://twitter.com/LaBallue"", ""https://www.instagram.com/chateaudelaballue/""]";Jardin régulier,Jardin contemporain,Jardin privé;2005;Deux jardins d’architectes dessinés dans les années 1970 composent l’espace autour d’un château Louis XIII : un jardin « classique » conçu par François-Hébert Stevens selon le modèle italien des premiers jardins de cloître, et un jardin maniériste créé par Paul Maymont, déambulation intimiste dans treize chambres de verdure. Art topiaire et sculptures contemporaines se conjuguent avec harmonie et raffinement. Importante collection de buis (MH – 1,5 ha).;;JARD_35019_0001;MHR_53_JR0016;[];[];monument historique;2020-06-08 09:24:00;2022-11-25 15:57:25;48.438444, -1.547193
Les jardins du Logis de Forge;16440;Nouvelle-Aquitaine;Charente;Forge 16440 Mouthiers-sur-Boëme;Forge 16440 Mouthiers-sur-Boëme;Forge;;Mouthiers-sur-Boëme;16101;16;75.0;45.550843;0.12818;"[""http://www.jardinsdulogisdeforge.com""]";Parc paysager,Jardin contemporain,Jardin privé;2004;Ces jardins contemporains sont l’œuvre de propriétaires passionnés qui ont laissé libre cours à leur imagination à partir de bâtiments anciens (XVIe et XVIIIe siècles). Ils s'étirent avec élégance autour d'un étang formé par une importante résurgence. À l'art des jardins japonais correspond le reflet de la colline dans l'eau où l'on contemple les nénuphars depuis la tonnelle. Perspectives, décors, échappées, contribuent à surprendre le promeneur qui découvre la roue du moulin ou encore des nymphes de bronze sortant de coquillages d'où jaillissent des jets d'eau.;;JARD_16236_0001;MHR_75_JR0037;[];[];;2020-06-08 09:24:00;2022-11-27 12:04:18;45.550843, 0.12818
Jardin du château de Pange;57530;Grand Est;Moselle;9 Rue des Tilleuls, 57530 Pange, France;9 Rue des Tilleuls, 57530 Pange, France;9 Rue des Tilleuls;;Pange;57533;57;44.0;49.085555;6.354267;"[""http://www.chateaudepange.fr""]";Jardin contemporain,Jardin privé;2004;"""Jardin dans la campagne et campagne dans le jardin"", Pange est une ode à la nature. Conçu par le paysagiste Louis Benech, ce jardin résolument contemporain et champêtre s'intègre à merveille dans la splendide campagne environnante.";;JARD_57533_0001;MHR_44_JR0042;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:35;49.085555, 6.354267
Jardins du Sardy;24230;Nouvelle-Aquitaine;Dordogne;7 Rte de Sardy, 24230 Vélines, France;7 Rte de Sardy, 24230 Vélines, France;7 Rte de Sardy;;Vélines;24568;24;75.0;44.858873;0.111457;"[""http://jardinsdesardy.com""]";Jardin privé;2004;"Jardins créés dans les années 1950 autour d'une architecture ancienne. Inspiration italienne et anglaise dans une ambiance romantique ; jardin d’eau, rocailles, massifs de fleurs.";;JARD_24568_0001;MHR_75_JR0020;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:17;44.858873, 0.111457
Jardins de Chaligny;85320;Pays de la Loire;Vendée;2 Rue Nicolas Boutaud, 85320 Sainte-Pexine, France;2 Rue Nicolas Boutaud, 85320 Sainte-Pexine, France;2 Rue Nicolas Boutaud;;Sainte-Pexine;85261;85;52.0;46.547062;-1.125815;"[""http://www.jardindechaligny.wordpress.com""]";Jardin régulier,Jardin contemporain,Jardin vivrier,Jardin privé;2007;Entre bois et rivière, ces jardins réguliers reconduisent dans le paysage la structure géométrique d'un authentique logis vendéen. Plusieurs espaces différenciés s'y succèdent dans une unité remarquable, jardin fruitier, pergola, potager, orangerie, nymphée.;;JARD_85261_0001;MHR_52_JR0017;[];[];monument historique;2020-09-15 18:16:00;2022-07-22 10:28:12;46.547062, -1.125815
Parc de Champagne;51100;Grand Est;Marne;10 Av. Henri Farman, 51100 Reims, France;10 Av. Henri Farman, 51100 Reims, France;10 Av. Henri Farman;;Reims;51454;51;44.0;49.24074;4.055815;"[""https://www.reims.fr/qualite-de-vie-environnement/reims-l-effervescence-cote-nature/les-grands-parcs/le-parc-de-champagne-4712.html""]";Parc paysager,Jardin public;2015;Melchior de Polignac, petit fils de la veuve Pommery, confie en 1907 au paysagiste rémois Édouard Redont, la création d’un parc arboré de 22 ha destiné au personnel de la célèbre maison de champagne. Le parc est ouvert depuis 3 ans, lorsqu’en 1913, Georges Hébert, fondateur d’une méthode « naturelle » pour former des sportifs, y installe le premier Collège d’Athlètes. Détruit par la guerre, le site sera restauré en 1922. Rebaptisés Parc de Champagne en 2004, les lieux sont aujourd’hui gérés par la ville de Reims.;;JARD_51454_0002;MHR_44_JR0029;[];[];"monument historique; patrimoine mondial de lunesco";2020-12-11 13:16:43;2022-07-22 10:28:12;49.24074, 4.055815
Herbarium des remparts;80230;Hauts-de-France;Somme;Herbarium des Remparts, 36 Rue Brandt, 80230 Saint-Valery-sur-Somme, France;Herbarium des Remparts, 36 Rue Brandt, 80230 Saint-Valery-sur-Somme, France;Herbarium des Remparts;;Saint-Valery-sur-Somme;80721;80;32.0;50.187362;1.628853;[];Jardin contemporain,Jardin vivrier,Jardin privé,Jardin public;2004;L’Herbarium est un jardin public original de 1700 m². Niché sur les hauteurs de la cité médiévale, il se décline sur 4 terrasses et propose, autour d’un vieux pommier centenaire, des plantes aux multiples vertus (médicinales, aromatiques, textiles, tinctoriales, historiques…) ainsi qu’une diversité botanique des différents milieux naturels de la région.;;JARD_80721_0001;MHR_32_JR0027;[];[];;2020-06-08 09:25:00;2022-07-22 10:27:59;50.187362, 1.628853
